Ванчо,Бесит,"Бесит, когда надо ждать непонятно сколько.
Тянется тогда за минутой минута так больно!
Вот бы только знать, я б тогда вспорхнул вольно,
Ну а пока лишь наблюдаю, головой качая бойко…",1,0
Ванчо,Люблю,"Люблю смотреть за котом.
И вчера и потом.
Ходит-бродит он чё-то.
Такой вот аттракцион!",1,0
Ванчо,Думаю,"Думаю я часто, не думаю реже",1,0
Ванчо,Люблю,Люблю быть близко к эпицентру,1,0
Ванчо,Бесит,Бесит Очень Груша,2,9
Ванчо,Думаю,Думаю часто о всяком,1,0
Ванчо,Люблю,Люблю любить любовь,1,0
Ванчо,Бесит,"Бесит, когда кому-то весело",1,0
Ванчо,Люблю,"Люблю, когда хорошо",1,0
Ванчо,Люблю,Люблю лю,1,0
Ванчо,Люблю,Люблю люлю,1,0
Ванчо,Бесит,Бесть капец,1,0
Ванчо,Бесит,Бесит очень меня,1,0
Ванчо,Бесит,Бесит очень тебя,1,0
Ванчо,Думаю,Думаю что бесит,1,0
Ванчо,Бесит,Бесит капец,1,0
